"0"	"5524.95"
"1"	"4958.60"
"10"	"4819.70"
"11"	"5152.29"
"12"	"4664.59"
"13"	"4367.62"
"14"	"4735.03"
"15"	"5413.51"
"16"	"4979.06"
"17"	"5032.68"
"18"	"4921.27"
"19"	"5059.43"
"2"	"5994.59"
"20"	"4836.86"
"21"	"4707.41"
"22"	"5019.45"
"23"	"4042.65"
"24"	"5259.92"
"25"	"5057.61"
"26"	"5250.40"
"27"	"4915.89"
"28"	"5000.71"
"29"	"5032.53"
"3"	"4659.63"
"30"	"4990.72"
"31"	"4765.05"
"32"	"5496.05"
"33"	"5254.66"
"34"	"5330.80"
"35"	"5155.42"
"36"	"4278.05"
"37"	"4735.20"
"38"	"4898.46"
"39"	"6193.11"
"4"	"4815.05"
"40"	"5186.43"
"41"	"5637.62"
"42"	"5696.84"
"43"	"5368.83"
"44"	"4756.89"
"45"	"3309.38"
"46"	"5963.11"
"47"	"4316.30"
"48"	"4384.33"
"49"	"4394.60"
"5"	"4561.07"
"50"	"4517.27"
"51"	"4975.22"
"52"	"5245.06"
"53"	"4945.30"
"54"	"6065.39"
"55"	"5298.09"
"56"	"4701.02"
"57"	"4628.40"
"58"	"5437.73"
"59"	"5642.89"
"6"	"5397.88"
"60"	"5040.71"
"61"	"5497.48"
"62"	"5253.32"
"63"	"5415.15"
"64"	"5288.69"
"65"	"5140.35"
"66"	"4681.92"
"67"	"4505.79"
"68"	"6375.45"
"69"	"5123.01"
"7"	"4755.07"
"70"	"5368.25"
"71"	"5995.66"
"72"	"5337.44"
"73"	"6206.20"
"74"	"4647.13"
"75"	"4178.50"
"76"	"4904.21"
"77"	"4327.73"
"78"	"4524.51"
"79"	"3790.57"
"8"	"5517.24"
"80"	"4727.86"
"81"	"5112.71"
"82"	"4812.49"
"83"	"4635.80"
"84"	"4652.94"
"85"	"5503.43"
"86"	"4908.81"
"87"	"5206.40"
"88"	"4830.55"
"89"	"4851.48"
"9"	"5322.65"
"90"	"5290.41"
"91"	"4642.26"
"92"	"5379.28"
"93"	"5265.75"
"94"	"4475.57"
"95"	"4876.84"
"96"	"3924.23"
"97"	"5977.19"
"98"	"4297.26"
"99"	"4172.29"
